id,name,neighbourhood_cleansed,latitude,longitude,property_type,room_type,accommodates,beds,price_clean,estimated_revenue_l365d,est_monthly_revenue,estimated_occupancy_l365d,number_of_reviews,reviews_per_month,review_scores_rating,host_id,host_is_superhost,host_years,amenities_count,neighbourhood_listing_count,competition_level,quality_index
1251765141237192511,"X34, Near Harvard Medical/Longwood Hospitals",Mission Hill,42.3305842482762,-71.10956327060156,Private room in rental unit,Private room,1,1.0,57.0,10260.0,855.0,180,3,0.27,5.0,229497500,f,6.802739726027397,32,78,Low,0.5038311690457642
1252147336923412719,"X32, Spacious Room Near HMS/Longwood Hospitals",Mission Hill,42.332125154430905,-71.10887201902342,Private room in rental unit,Private room,2,1.0,59.0,7080.0,590.0,120,2,0.46,5.0,229497500,f,6.802739726027397,33,78,Low,0.5767971712390523
1252530932195640249,X23 Near HMS/Longwood Hospitals,Mission Hill,42.33074439410338,-71.10950966961504,Private room in rental unit,Private room,2,1.0,60.0,3600.0,300.0,60,1,0.09,5.0,229497500,f,6.802739726027397,27,78,Low,0.13900115807932434
1252545039801928516,"X33, Private Room Near HMS/Longwood Hospitals",Mission Hill,42.332646717787895,-71.11076586111461,Private room in rental unit,Private room,2,1.0,59.0,7080.0,590.0,120,2,0.73,5.0,229497500,f,6.802739726027397,29,78,Low,0.28493316246590034
1253679927725047459,Modern East Boston 2 Bed 2 Bath,East Boston,42.38065,-71.03814,Entire rental unit,Entire home/apt,4,2.0,258.0,65790.0,5482.5,255,20,2.41,4.85,66649895,t,9.463013698630137,39,229,Low,0.6473612181745704
1253680161228943674,"Free Parking at 1 Bed Basement Apt, Near BU & MIT",Fenway,42.34939570407056,-71.09571994275538,Entire rental unit,Entire home/apt,4,3.0,178.0,45390.0,3782.5,255,28,2.34,4.89,130680380,f,8.35890410958904,38,241,Medium,0.6723237403077382
1254230035554141404,South End Victorian Brownstone,South End,42.341127512167205,-71.07742611984403,Entire condo,Entire home/apt,5,2.0,321.0,26964.0,2247.0,84,14,2.08,4.71,569249417,f,1.4958904109589042,39,291,Medium,0.3046113830319763
1254425675823407725,Stylish 1 Bedroom Downtown,Downtown,42.35108,-71.06546,Entire rental unit,Entire home/apt,2,1.0,237.0,26070.0,2172.5,110,11,3.11,4.91,523515799,f,2.23013698630137,10,376,High,-1.3217600589410963
1254430336062999677,Cozy 2BR 2BA Close to Boston Downtown,Brighton,42.347865945491385,-71.14091133369378,Entire rental unit,Entire home/apt,4,1.0,165.0,0.0,0.0,0,0,,,150150201,f,8.038356164383561,33,303,Medium,
1257320426446048732,"Bright, modern 1BR/1BA in South Boston",South Boston,42.33347,-71.03959,Entire rental unit,Entire home/apt,2,1.0,102.0,0.0,0.0,0,0,,,30052454,f,10.504109589041096,39,194,Low,
1257518652957335127,The Princeton Boston - Luxurious Apartment (New!),East Boston,42.37670268648397,-71.0351585203212,Entire rental unit,Entire home/apt,8,4.0,308.0,35112.0,2926.0,114,19,1.7,4.95,98396045,t,8.972602739726028,38,229,Low,0.819216526797423
1258682027293555147,Thatch Quarters | Pvt. Room in Southie | 301 DOT,South Boston,42.33631271024674,-71.04591405138864,Entire rental unit,Entire home/apt,2,1.0,120.0,20880.0,1740.0,174,29,2.49,4.21,814298,f,14.210958904109589,32,194,Low,-1.4302571864017355
1258724063390806406,Sunlit Efficiency Unit-Longwood/Fenway,Mission Hill,42.33421214680135,-71.10553634445374,Entire rental unit,Entire home/apt,1,1.0,154.0,20328.0,1694.0,132,22,2.02,4.95,406353986,f,4.2904109589041095,43,78,Low,1.1840465377638627
1258780576616575930,Adorable Apartment-Longwood/Fenway,Mission Hill,42.33369,-71.1071,Entire rental unit,Entire home/apt,2,1.0,130.0,28860.0,2405.0,222,37,3.47,4.76,406353986,f,4.2904109589041095,45,78,Low,0.8648180515997734
1259649483873314821,#1 Cozy 1-Bed Private Room Downtown,Roxbury,42.31048,-71.08924,Private room in rental unit,Private room,1,1.0,111.0,0.0,0.0,0,0,,,81938418,f,9.224657534246575,41,295,Medium,
1259742018225135881,#2 Cozy 1-Bed Private Room Downtown,Roxbury,42.31198449326831,-71.08908670556116,Private room in rental unit,Private room,1,1.0,121.0,2178.0,181.5,18,3,0.26,4.67,81938418,f,9.227397260273973,41,295,Medium,0.35261486309209655
